Seed,X Position,Y Position,ElapsedTime(ms)
1,13,10,56
1,-16,-4,51
1,-16,4,35
1,-4,-16,34
1,-4,16,53
1,4,-16,51
1,4,16,42
1,16,-4,44
1,16,4,54
1,-15,-7,51
1,-15,7,33
1,-7,-15,32
1,-7,15,113
1,7,-15,109
1,7,15,42
1,15,-7,40
1,-14,-9,47
1,15,7,58
1,-14,9,37
1,-9,-14,34
1,-9,14,52
1,9,-14,48
1,9,14,43
1,14,-9,41
1,14,9,55
1,-16,-5,49
1,-16,5,34
1,-5,-16,33
1,-5,16,53
1,5,-16,51
1,5,16,42
1,16,-5,40
1,16,5,56
1,-12,-12,49
1,-12,12,39
1,12,-12,38
1,-17,0,51
1,12,12,59
1,-15,-8,34
1,-15,8,38
1,-8,-15,52
1,-8,15,62
1,0,-17,38
1,0,17,46
1,8,-15,37
1,8,15,62
1,15,-8,55
1,15,8,45
1,17,0,46
1,-6,-9,125047
1,-13,-11,53
1,-13,11,33
1,-11,-13,28
1,-11,13,36
1,6,9,134076
1,13,-5,45135
1,-1,-17,37769
1,-13,-5,167465
1,11,-13,33
1,11,13,50
1,13,-11,33
1,13,11,39
1,-5,-13,131454
1,-17,1,80430
1,-16,-6,37
1,-16,6,44
1,-6,-16,32
1,-6,16,35
1,6,-16,33
1,6,16,55
1,16,-6,33
1,16,6,40
1,-17,-2,29
1,-17,2,48
1,-2,-17,30
1,-2,17,35
1,2,-17,33
1,2,17,52
1,17,-2,34
1,17,2,37
1,-14,-10,29
1,-14,10,48
1,-10,-14,29
1,-10,14,34
1,10,-14,31
1,10,14,53
1,14,-10,34
1,14,10,37
1,-17,-3,31
1,-17,3,53
1,-3,-17,30
1,-3,17,35
1,3,-17,32
1,3,17,52
1,17,-3,35
1,17,3,35
1,-17,-4,30
1,-17,4,36
1,-16,-7,29
1,-16,7,31
1,-7,-16,29
1,-7,16,36
1,-4,-17,46
1,-4,17,37
1,4,-17,32
1,4,17,37
1,7,-16,48
1,7,16,37
1,16,-7,35
1,16,7,36
1,17,-4,50
1,17,4,36
1,-15,-9,28
1,-15,9,33
1,-9,-15,45
1,-9,15,35
1,9,-15,32
1,9,15,38
1,15,-9,48
1,15,9,37
1,-13,-12,29
1,-13,12,32
1,-12,-13,29
1,-12,13,48
1,12,-13,34
1,12,13,37
1,13,-12,34
1,13,12,53
1,-17,-5,30
1,-17,5,30
1,-5,-17,28
1,-5,17,51
1,5,-17,31
1,5,17,37
1,17,-5,34
1,17,5,51
1,-14,-11,30
1,-14,11,34
1,-11,-14,29
1,-11,14,34
1,11,-14,46
1,11,14,37
1,14,-11,34
1,14,11,40
1,-16,-8,102
1,-16,8,31
1,-8,-16,31
1,-8,16,36
